,comment,label,start,end
156,彪「2003年生まれ4月19日ぐらい..やろ？？」拓「そうっすね、、」彪「先輩やろ？後輩になにやってんねん」口調が矛盾しすぎててめっちゃ笑った,アーティストに関するコメント,0,70
157,ステージではアイドルやのにしっかり修学旅行中の男子高校生って感じでめっちゃかわいい、、、、、、、てか、、寝起きから王子様、、、、、🥺💞,アーティストに関するコメント,0,41
158,るーく君の適応能力がすごいあと斗亜君の何が生まれるん？って言いながらも完璧に踊るとか最高同時に彪太郎君と風雅君もいたのがりとかんの仲の良さがでてたし　寝起きドッキリも一筋縄ではいかない感じも関西らしくて好き急遽ニシタクへの逆ドッキリも最高でした,動画に関するコメント,0,122
159,こたちゃんが優しすぎて、にしたくが全くビビってないから風さんが「ガチギレやんガチギレやん」って言ってあげてるとこ良さが滲み出てた、、,動画に関するコメント,0,65
160,15:14水鉄砲が1番渡してはいけない人の手に渡った時、緊張感が走った,動画に関するコメント,0,35
161,最近こじけんにかなり寄ってきた斗亜くん、「なにが生まれるん？」「どの層にウケて...」って心配してるけど、大丈夫よ、20代女性的には神回でした。,アーティストに関するコメント,0,71
162,肌荒れすらも尊い5人。愛してる。,アーティストに関するコメント,0,15
163,「関ジュは家族」って仲がいいっていう例えじゃなくて、1人ずつ部屋あっても一緒に寝ちゃうんだからもうほんとに家族なんだなって改めて実感した,アーティストに関するコメント,0,68
164,「君は僕だけのお姫様」じゃなくて「僕は君だけの王子様」なのが天才なのよ😭😭,動画に関するコメント,0,37
165,全員同じ学校通っててアイドルしてるってどんな漫画ですか🥺,アーティストに関するコメント,0,28
166,Lilかんさいは、結成前平野紫耀くん主演の映画『ういらぶ』を見に行くためのグループメールを作ってたグループなんです🥺カワイイ…🤦‍♀️,アーティストに関するコメント,0,64
167,男子です。王子様って歌詞があるからお姫様に対しての曲みたいな感じだけど直接的にお姫様って言うと女性ファンだけに対してで、男性ファンをのけものにしてるみたいな感じになるから君は僕だけのお姫様じゃなくて僕は君だけの王子様で、君ってすることで女性じゃなく男性でも別にいいよねみたいな歌詞で男ファンとしては好き。,動画に関するコメント,5,140
168,岡﨑くんは王子様っていうより貴公子って感じだね。イケメンすぎ...,アーティストに関するコメント,0,33
169,SixTONES担の方や嵐担の方、TravisJapan担の皆さんがLilかんさいのことをすごく褒めてくださるのが嬉しすぎて🤧🤧,アーティストに関するコメント,0,64
170,なにわさんAぇ!さん東ジュさんに勝ちたい、人気になりたいじゃなくて「自分達にしか出せない色を出したい」って言えるところとか、本当に高校生なのか疑うほどしっかりしてる,アーティストに関するコメント,0,82
171,ティアラだけどこの曲好きすぎてまじ毎日聞いてる,動画に関するコメント,0,23
172,事務所様Lil かんさいにチャンスをください。彼らの努力認めてあげてください。キラキラフレッシュのまま世に送り出してあげたい輝けるステージがあれば彼らはどんどん成長します伸び代たっぷり高校生ですよ！！！！♡,アーティストに関するコメント,0,103
173,最近海外進出目指してる若手グループ多いけど、リトかんは日本でキラキラ輝いていて欲しい。というかこの子たちは日本のファン幸せにしてくれそう,アーティストに関するコメント,0,68
174,まじでこの時からメンバー1人もかけてないのすごいと思う,アーティストに関するコメント,0,27
175,当時中学生だった私がドはまりしてた曲…気づいたらもう大学生。ひええええ。,アーティストに関するコメント,0,36
176,たまに無性に聴きたくなるこの曲,動画に関するコメント,0,15
177,ずっと応援してるよ。また5人で戻ってきてね‼,アーティストに関するコメント,0,22
178,さきてぃ可愛い♡どのグループも黄色って可愛いの！？,アーティストに関するコメント,0,25
179,いやほんとみんな唇の色無いのにこんなに可愛いのは意味わからない,アーティストに関するコメント,0,31
180,さきてぃの可愛さは異常,アーティストに関するコメント,0,11
181,さきてぃー顔だけでなく、表情、声全てが癒し推したくなるたこ虹売れてくれ〜,アーティストに関するコメント,0,36
182,Zepp Hanedaのラストライブ、アンコールでこの曲を歌った時、明るい曲なのに涙腺が崩壊してしまった。一回り大きくなって帰ってくることを願って待ってます。,"動画に関するコメント,アーティストに関するコメント","0,53","52,79"
183,avexになってからこういう関西を押し出した歌がないからもっと増えて欲しい,動画に関するコメント,0,37
184,本当にこの曲に救われました。いつか、生で聴いてみたいです！,動画に関するコメント,0,29
185,泣きました。自分は同性が好きでそんな自分を周りに隠して生きています。自分自身も自分のことを認められてなくて悩んでた所にこの曲を聞いて、自分自身を少しですが認められた気がします。,動画に関するコメント,34,87
186,卒業（泣）めっちゃ良いグループだった。お世話になりました。あとちょっとあるけど。やっぱこの曲いいなぁ（泣）,アーティストに関するコメント,0,53
187,3:23のスタンばってるさきてぃ可愛い笑,アーティストに関するコメント,0,19
188,やっぱスタダは目のつけどころがすごい‥しゃちもたこ虹もどんどん美人になってきてる‥,アーティストに関するコメント,0,41
189,まいさく→同性愛さきてぃ→アニオタへの偏見(？)とその人間関係くーちゃん→本当の夢、やりたいことれんれん→1人ひとりの個性を表してるのかな？すごいメッセージ性がある曲。,動画に関するコメント,0,82
190,久しぶりに見たら青の子がいい意味であか抜けた感じに可愛く成長してて驚いた,アーティストに関するコメント,0,36
191,今すごく友人関係のことで悩んでてこの歌を聴いてすごく元気をもらえました(；＿；)たこ虹さん随分みてないうちにみんな可愛い女の子から垢抜けた美人さんになっててびっくりです！！久しぶりに音楽をきいてこんな衝撃をうけました……😭😭😭💗💗,"動画に関するコメント,アーティストに関するコメント","0,40","40,86"
192,くーちゃんどんどん可愛くなってるよね！？,アーティストに関するコメント,0,20
193,この子達だから歌える歌やと思う。とりあえずみんな可愛すぎ,動画に関するコメント,0,28
